  team	      player	   season	season_end
328	2nd Team	Mario Lemieux	1985-1986	1986
329	2nd Team	Jari Kurri	1985-1986	1986
330	2nd Team	Ray Bourque	1985-1986	1986
331	2nd Team	Larry Robinson	1985-1986	1986
332	2nd Team	Bob Froese	1985-1986	1986
333	1st Team	John Ogrodnick	1984-1985	1985
334	1st Team	Wayne Gretzky	1984-1985	1985
335	1st Team	Jari Kurri	1984-1985	1985
336	1st Team	Ray Bourque	1984-1985	1985
337	1st Team	Paul Coffey	1984-1985	1985
338	1st Team	Pelle Lindbergh	1984-1985	1985
339	2nd Team	John Tonelli	1984-1985	1985
340	2nd Team	Dale Hawerchuk	1984-1985	1985
341	2nd Team	Mike Bossy	1984-1985	1985
342	2nd Team	Rod Langway	1984-1985	1985
343	2nd Team	Doug Wilson	1984-1985	1985
344	2nd Team	Tom Barrasso	1984-1985	1985
345	1st Team	Michel Goulet	1983-1984	1984
346	1st Team	Wayne Gretzky	1983-1984	1984
347	1st Team	Mike Bossy	1983-1984	1984
348	1st Team	Ray Bourque	1983-1984	1984
349	1st Team	Rod Langway	1983-1984	1984
350	1st Team	Tom Barrasso	1983-1984	1984
351	2nd Team	Mark Messier	1983-1984	1984
352	2nd Team	Bryan Trottier	1983-1984	1984
353	2nd Team	Kan Kurri	1983-1984	1984
354	2nd Team	Paul Coffey	1983-1984	1984
355	2nd Team	Denis Potvin	1983-1984	1984
356	2nd Team	Pat Riggin	1983-1984	1984
357	1st Team	Mark Messier	1982-1983	1983
358	1st Team	Wayne Gretzky	1982-1983	1983
359	1st Team	Mike Bossy	1982-1983	1983
360	1st Team	Mark Howe	1982-1983	1983
361	1st Team	Rod Langway	1982-1983	1983
362	1st Team	Pete Peeters	1982-1983	1983
363	2nd Team	Michel Goulet	1982-1983	1983
364	2nd Team	Denis Savard	1982-1983	1983
365	2nd Team	Lanny McDonald	1982-1983	1983
366	2nd Team	Ray Bourque	1982-1983	1983
367	2nd Team	Paul Coffey	1982-1983	1983
368	2nd Team	Roland Melanson	1982-1983	1983
369	1st Team	Mark Messier	1981-1982	1982
370	1st Team	Wayne Gretzky	1981-1982	1982
371	1st Team	Mike Bossy	1981-1982	1982
372	1st Team	Ray Bourque	1981-1982	1982
373	1st Team	Doug Wilson	1981-1982	1982
374	1st Team	Billy Smith	1981-1982	1982
375	2nd Team	John Tnelli	1981-1982	1982
376	2nd Team	Bryan Trottier	1981-1982	1982
377	2nd Team	Rick Middleton	1981-1982	1982
378	2nd Team	Paul Coffey	1981-1982	1982
379	2nd Team	Rian Engblom	1981-1982	1982
380	2nd Team	Grant Fuhr	1981-1982	1982
381	1st Team	Charlie Simmer	1980-1981	1981
382	1st Team  Wayne Gretzzky	1980-1981	1981
383	1st Team	Mike Bossy	1980-1981	1981
384	1st Team	Randy Carlyle	1980-1981	1981
385	1st Team	Denis Potvin	1980-1981	1981
386	1st Team	Mike Liut	1980-1981	1981
387	2nd Team	Bill Barber	1980-1981	1981
388	2nd Team	Marcel Dionne	1980-1981	1981
389	2nd Team	Dave Taylor	1980-1981	1981
390	2nd Team	Ray Bourque	1980-1981	1981
391	2nd Team	Larry Robinson	1980-1981	1981
392	2nd Team	Mario Lessard	1980-1981	1981
393	1st Team	Charlie Simmer	1979-1980	1980
394	1st Team	Marcel Dionne	1979-1980	1980
395	1st Team	Guy Lafleur	1979-1980	1980
396	1st Team	Ray Bourque	1979-1980	1980
397	1st Team	Larry Robinson	1979-1980	1980
398	1st Team	Tony Esposito	1979-1980	1980
399	2nd Team	Steve Shutt	1979-1980	1980
400 2nd Team	Wayne Gretzky	1979-1980	1980
401	2nd Team	Danny Gare	1979-1980	1980
402	2nd Team	Bjore Salming	1979-1980	1980
403	2nd Team	Jim Schoenfeld	1979-1980	1980
404	2nd Team	Don Edwards	1979-1980	1980
405	1st Team	Clark Gillies	1978-1979	1979
406	1st Team	Bryan Trottier	1978-1979	1979
407	1st Team	Guy Lafleur	1978-1979	1979
408	1st Team	Denis Potvin	1978-1979	1979
409	1st Team	Larry Robinson	1978-1979	1979
410	1st Team	Ken Dryden	1978-1979	1979
411	2nd Team	Bill Barber	1978-1979	1979
412	2nd Team	Marcel Dionne	1978-1979	1979
413	2nd Team	Mike Bossy	1978-1979	1979
414	2nd Team	Borje Salming	1978-1979	1979
415	2nd Team	Serge Savard	1978-1979	1979
416	2nd Team	Glenn Resch	1978-1979	1979
417	1st Team	Clark Gillies	1977-1978	1978
418	1st Team	Bryan Trottier	1977-1978	1978
419	1st Team	Guy Lafleur	1977-1978	1978
420	1st Team	Brad Park	1977-1978	1978
421	1st Team	Denis Potvin	1977-1978	1978
422	1st Team	Ken Dryden	1977-1978	1978
423	2nd Team	Steve Shutt	1977-1978	1978
424	2nd Team	Darryl Sittler	1977-1978	1978
425	2nd Team	Mike Bossy	1977-1978	1978
426	2nd Team	Larry Robinson	1977-1978	1978
427	2nd Team	Borje Salming	1977-1978	1978
428	2nd Team	Don Edwards	1977-1978	1978
429	1st Team	Steve Shutt	1976-1977	1977
430	1st Team	Marcel Dionne	1976-1977	1977
431	1st Team	Guy Lafleur	1976-1977	1977
432	1st Team	Larry Robinson	1976-1977	1977
433	1st Team	Borje Salming	1976-1977	1977
434	1st Team	Ken Dryden	1976-1977	1977
435	2nd Team	Rick Martin	1976-1977	1977
436	2nd Team	Gilbert Perreault	1976-1977	1977
437	2nd Team	Lanny McDonald	1976-1977	1977
438	2nd Team	Guy Lapointe	1976-1977	1977
439	2nd Team	Denis Potvin	1976-1977	1977
440	2nd Team	Rogie Vachon	1976-1977	1977
441	1st Team	Bill Barber	1975-1976	1976
442	1st Team	Bobby Clarke	1975-1976	1976
443	1st Team	Guy Lafleur	1975-1976	1976
444	1st Team	Brad Park	1975-1976	1976
445	1st Team	Denis Potvin	1975-1976	1976
446	1st Team	Ken Dryden	1975-1976	1976
447	2nd Team	Rick Martin	1975-1976	1976
448	2nd Team	Gilbert Perreault	1975-1976	1976
449	2nd Team	Reggie Leach	1975-1976	1976
450	2nd Team	Guy Lapointe	1975-1976	1976
451	2nd Team	Borje Salming	1975-1976	1976
452	2nd Team	Glenn Resch	1975-1976	1976
453	1st Team	Rick Martin	1974-1975	1975
454	1st Team	Bobby Clarke	1974-1975	1975
455	1st Team	Guy Lafleur	1974-1975	1975
456	1st Team	Bobby Orr	1974-1974	1975
457	1st Team	Denis Potvin	1974-1975	1975
458	1st Team	Bernie Parent	1974-1975	1975
459	2nd Team	Steve Vickers	1974-1975	1975
460	2nd Team	Phil Esposito	1974-1975	1975
461	2nd Team	Ren� Robert	1974-1975 1975
